"SRC_SYSTEM","SCENARIO","BUSINESS_DT","DT","PLANT_PRODUCT_ID","BP","PLAN","PPR","FORECAST","FACT"
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-05,[MENGE_11_1],7510.20100,8968.11000,8785.74600,,8366.26900
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-06,[MENGE_11_1],7510.20000,8968.11000,8785.74500,,8363.25800
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-07,[MENGE_11_1],7510.20100,8968.11000,8785.74600,,8388.10300
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-08,[MENGE_11_1],7510.20000,8968.11000,8785.74500,,8333.99700
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-09,[MENGE_11_1],7510.20100,8968.11000,8752.27800,,8392.92400
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-10,[MENGE_11_1],7510.20000,8968.11000,8752.27800,,8387.90600
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-11,[MENGE_11_1],7510.20100,8968.11000,8752.27800,,8412.41400
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-12,[MENGE_11_1],7510.20000,8968.11000,8752.27800,,8482.94800
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-13,[MENGE_11_1],7510.20100,8968.11000,8752.27700,,8285.86600
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-14,[MENGE_11_1],7510.20000,8968.11000,8785.72600,,7938.93500
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-15,[MENGE_11_1],7510.20100,8968.11000,8785.72600,,7699.55000
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-16,[MENGE_11_1],7510.20000,8968.11000,8785.72500,,7794.93200
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-17,[MENGE_11_1],7510.20100,8968.11000,8785.72600,,7787.16500
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-18,[MENGE_11_1],7510.20000,8968.11000,8785.72500,,7826.79800
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-19,[MENGE_11_1],7510.20100,8968.11000,8802.49400,,7974.53200
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-20,[MENGE_11_1],7510.20000,8968.11000,8802.49400,,7961.87600
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-21,[MENGE_11_1],7510.20100,8968.11000,8802.49400,,7934.74100
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-22,[MENGE_11_1],7510.20000,8968.11000,8802.49400,,7875.66800
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-23,[MENGE_11_1],7510.20100,8968.11000,8802.49500,,7962.93200
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-24,[MENGE_11_1],7510.20000,8968.11000,3990.80900,,7850.93000
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-25,[MENGE_11_1],7510.20100,8968.11000,3990.80900,,7960.39600
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-26,[MENGE_11_1],7510.20000,8968.11000,3990.80900,,8228.62900
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-27,[MENGE_11_1],7510.20100,8319.11000,3990.81000,8319.11000,
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-28,[MENGE_11_1],7510.20000,4119.11000,7164.61800,4379.11000,
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-29,[MENGE_11_1],7510.20100,3631.11000,7164.61700,3891.11000,
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-30,[MENGE_11_1],7510.20000,3631.11000,7164.61800,3891.11000,
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-31,[MENGE_11_1],7510.20300,3631.11000,7164.61700,3891.11000,
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-01,[MENGE_11_7-_01-V],0.00000,0.00000,0.00000,,0.00000
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-02,[MENGE_11_7-_01-V],484.20700,439.51100,425.94300,,476.49800
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-03,[MENGE_11_7-_01-V],519.06200,471.14800,456.60400,,505.50600
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-04,[MENGE_11_7-_01-V],495.09300,449.39200,435.51900,,497.63900
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-05,[MENGE_11_7-_01-V],515.05900,467.51500,453.07800,,503.69300
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-06,[MENGE_11_7-_01-V],501.43900,455.15200,441.09800,,491.19300
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-07,[MENGE_11_7-_01-V],515.15600,467.60300,453.16400,,493.95600
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-08,[MENGE_11_7-_01-V],515.64400,468.04700,453.59400,,535.72600
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-09,[MENGE_11_7-_01-V],507.39500,460.55800,449.81300,,518.70400
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-10,[MENGE_11_7-_01-V],484.20700,439.51100,429.25700,,0.00000
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-11,[MENGE_11_7-_01-V],495.63000,449.87900,439.38400,,509.07800
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-12,[MENGE_11_7-_01-V],497.92400,451.96200,441.41800,,509.30700
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-13,[MENGE_11_7-_01-V],483.37700,438.75800,428.52200,,514.28300
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-14,[MENGE_11_7-_01-V],521.84400,473.67400,459.04700,,580.00200
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-15,[MENGE_11_7-_01-V],521.35600,473.23100,458.61800,,608.30400
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-16,[MENGE_11_7-_01-V],517.64600,469.86300,455.35400,,574.32900
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-17,[MENGE_11_7-_01-V],523.60100,475.26900,460.59300,,566.92400
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-18,[MENGE_11_7-_01-V],490.40700,445.13800,431.39300,,533.81300
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-19,[MENGE_11_7-_01-V],493.14000,447.62000,432.10400,,509.47800
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-20,[MENGE_11_7-_01-V],477.81200,433.70600,418.67200,,492.30600
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-21,[MENGE_11_7-_01-V],503.73300,457.23500,441.38600,,532.33400
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-22,[MENGE_11_7-_01-V],502.46400,456.08300,440.27300,,537.75500
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-23,[MENGE_11_7-_01-V],490.40700,445.13800,429.70800,,481.06100
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-24,[MENGE_11_7-_01-V],502.70800,456.30400,935.99700,,506.92300
